source_file,decoded_name,kind,bytes,sha256,width,height,elements,paths,rects,groups,images,text_elements,embedded_image_bytes
#U0410#U0432#U0442#U043e#U043d#U0430#U0437#U043d#U0430#U0447#U0435#U043d#U0438#U044f.svg,Автоназначения.svg,screen-or-reference,6694551,d81f0f5973a892c94ee88714483c97d9271fee49e302be2d4ae09fa3fc4da6fc,11660,1805,2538,1321,398,141,2,0,3014351
#U0414#U0430#U0448#U0431#U043e#U0440#U0434#U044b.svg,Дашборды.svg,screen-or-reference,10079437,7e2c9fd027470c1ba773783cdd132c1a0f5084c9a5da5211efe3f5e932b6b5ba,18020,2384,5860,2934,713,174,2,0,3014351
#U0414#U0435#U0442#U0430#U043b#U044c#U043d#U0430#U044f #U043e#U0442#U0447#U0435#U0442#U0430.svg,Детальная отчета.svg,screen-or-reference,7344060,c426aa8cc80e79a40cb9367c2d6685dd802939ec05fbdb59d97d6bd2c0b66315,6890,2212,1996,1158,281,56,2,0,3014351
#U0417#U0430#U044f#U0432#U043a#U0430 #U043d#U0430 #U043f#U0440#U043e#U0438#U0437#U0432#U043e#U0434#U0441#U0442#U0432#U043e.svg,Заявка на производство.svg,screen-or-reference,5839249,8756fb04115d0a089173ed97862758678c6a022c546fc7125eca2d8365348c7d,5300,5130,796,541,70,16,2,0,3014351
#U0418#U0441#U0442#U043e#U0440#U0438#U044f #U0438#U0437#U043c#U0435#U043d#U0435#U043d#U0438#U0439.svg,История изменений.svg,screen-or-reference,8341162,117fcd2da6e9212bb4f7526030d002e0a935be3ed272d713cf199c1fa2249d99,6890,1680,1581,822,337,70,6,0,3189029
#U041a#U0430#U043b#U0435#U043d#U0434#U0430#U0440#U044c #U0434#U043b#U044f #U043d#U0430#U0447#U0430#U043b#U044c#U043d#U0438#U043a#U0430.svg,Календарь для начальника.svg,screen-or-reference,6388316,f1f333c90049545ed02cc85d8791ce35298be141ef476cbf20353237a8d2b8de,8480,1680,9540,1765,6964,127,2,0,3014351
#U041a#U0430#U043b#U0435#U043d#U0434#U0430#U0440#U044c #U0438 #U043f#U0440#U0430#U0437#U0434#U043d#U0438#U043a#U0438.svg,Календарь и праздники.svg,screen-or-reference,10685943,a2352f0f291778da17dc2cc1104db26224be717b744100041b37a59643637a73,21200,2830,12890,4837,5679,377,2,0,3014351
#U041a#U0430#U043b#U0435#U043d#U0434#U0430#U0440#U044c.svg,Календарь.svg,screen-or-reference,10358706,3e58e149069aa28fc17657f72e043a64c837057647c1840cfc8a4ad08b5686d6,11660,2830,16052,3645,10865,295,2,0,3014351
#U041a#U043e#U043c#U043c#U0435#U043d#U0442#U0430#U0440#U0438#U0438.svg,Комментарии.svg,screen-or-reference,10211710,20e2dc809b8fa832cc73bd078abd57678c9614a70da7dbf376ab1a1f25458a88,8480,2830,1969,913,391,127,8,0,3984437
#U041e#U0431#U0440#U0430#U0449#U0435#U043d#U0438#U0435 #U043f#U043e #U0433#U0430#U0440#U0430#U043d#U0442#U0438#U0439#U043d#U043e#U043c#U0443 #U043e#U0431#U0441#U043b#U0443#U0436#U0438#U0432#U0430#U043d#U0438#U044e.svg,Обращение по гарантийному обслуживанию.svg,screen-or-reference,27334266,c2cba877b079f35f4fc32ca3b4ca223635175da47060de1d2b4d6cf2a157265f,27560,5130,10124,5511,1721,590,11,0,5628248
#U041f#U0435#U0440#U0432#U0438#U0447#U043d#U043e#U0435 #U043e#U0431#U0440#U0430#U0449#U0435#U043d#U0438#U0435.svg,Первичное обращение.svg,screen-or-reference,12835154,546546d43a137a2423c539f37261adea4ec36f92ff6b7984a59b0ed3ea1472d2,13250,4552,4148,2207,714,261,5,0,3176310
#U041f#U043b#U0430#U043d#U0438#U0440#U043e#U0432#U0449#U0438#U043a #U0434#U043b#U044f #U0441#U043e#U0442#U0440#U0443#U0434#U043d#U0438#U043a#U0430.svg,Планировщик для сотрудника.svg,screen-or-reference,16151082,fd681f4338fb2b4850e2516f3856fee6813e4faaaae9baedac562405a6412af5,14840,2723,23772,6293,13937,655,7,0,3286970
#U041f#U043e#U0441#U0442#U0430#U0432#U0449#U0438#U043a#U0438.svg,Поставщики.svg,screen-or-reference,9032621,4b81bbd9a1472a01925572e8aa060eccdb5fb4b07f35bfff20fd9efe592b86b5,13250,2904,4447,2390,770,196,2,0,3014351
